"Date update","sObject name","Field name","Field value","Parent SObject name","Parent field name","Parent field value","Error"
"2026-09-17  03:34:50.985","Account","Id","#N/A","#N/A","#N/A","#N/A","MISSING COLUMN IN THE CSV FILE"
"2026-09-17  03:34:50.986","Contact","Id","#N/A","#N/A","#N/A","#N/A","MISSING COLUMN IN THE CSV FILE"
"2026-09-17  03:34:50.985","Opportunity","Id","#N/A","#N/A","#N/A","#N/A","MISSING COLUMN IN THE CSV FILE"
"2026-09-17  03:34:50.986","Installation__c","Id","#N/A","#N/A","#N/A","#N/A","MISSING COLUMN IN THE CSV FILE"
"2026-09-17  03:34:50.986","Panel_Batch__c","Id","#N/A","#N/A","#N/A","#N/A","MISSING COLUMN IN THE CSV FILE"
